Kurs,Sex,sw_i,sw_r,kw_i,kw_r,koop,ss_dgk,ss_pgk,ss_igk,ss_vgk,ss_kgk,Out_just_1,Out_just_2,Out_just_3,Out_just_4,Out_just_5,Out_just_6,Out_just_7,Out_effi_1,Out_effi_2,Out_effi_3,Out_effi_4,Out_effi_5,Out_effi_6,Out_effi_7
2,1,0.476190476190476,0.3125,0.45,0.733333333333333,0.285714285714286,4.6,3.75,3.75,4.66666666666667,4.5,0.25,,0.428571428571429,0.2,0.5,0,0.125,0.065,,0.056,0.035,0.082,0.059,0.054
3,1,0.619047619047619,0.5,0.6,0.733333333333333,0.285714285714286,4.2,5,4.5,5.33333333333333,4.25,0.5,0.666666666666667,,,0.666666666666667,0.25,0.75,0.061,0.044,0.052,,0.039,0.043,0.051
2,2,0.428571428571429,0.375,0.6,0.533333333333333,0.333333333333333,4.4,4,4.25,4.66666666666667,4,0.25,0.5,0.285714285714286,0.2,0.666666666666667,0.125,0.375,0.055,0.074,0.061,0.039,0.044,0.051,0.045
2,1,0.761904761904762,0.4375,0.75,0.733333333333333,0.321428571428571,4.8,4.5,4.75,4.66666666666667,3.75,0.5,,0.714285714285714,0.4,0.5,0.375,,0.11,,0.095,0.193,0.188,0.152,
2,1,0.523809523809524,0.1875,0.6,0.533333333333333,0.261904761904762,4.8,6,5.5,5,5.5,0.25,0.333333333333333,,0.6,0.333333333333333,0.375,0.375,,0.029,,0.086,0.097,0.096,0.08
2,1,0.523809523809524,0.375,0.6,0.6,0.345238095238095,4.8,5.25,4.5,5,4.75,0.375,0.666666666666667,0.571428571428571,0.4,1,0.5,0.625,0.077,0.052,0.041,0.097,0.03,0.063,0.058
3,1,0.476190476190476,0.25,0.55,0.6,0.357142857142857,4.4,4,4.25,4.33333333333333,4,0,0.166666666666667,,0.4,0.5,,,0.069,0.082,,0.074,0.063,,
2,2,0.476190476190476,0.25,0.45,0.6,0.297619047619048,4,4.25,5.25,4.33333333333333,4.75,0.375,,,0.2,0.5,0.125,0.375,0.059,,,0.056,0.085,0.043,0.037
3,1,0.666666666666667,0.4375,0.55,0.6,0.321428571428571,4.4,5.5,5.5,5.33333333333333,4.5,,0.666666666666667,,0.6,,0.75,0.625,,0.031,,0.031,,0.113,0.033
2,2,0.523809523809524,0.4375,0.55,0.733333333333333,0.333333333333333,5,4,4.5,5.33333333333333,4.5,0,0.833333333333333,0.428571428571429,0.2,0.5,0.5,0.625,0.036,0.051,0.064,0.05,0.109,0.051,0.03
3,2,0.714285714285714,0.5,0.75,0.933333333333333,0.285714285714286,4.6,4.75,4.25,4.33333333333333,4.25,0.25,0.666666666666667,0.571428571428571,0.2,0.333333333333333,0.5,0.5,0.05,0.165,0.063,0.094,0.165,0.08,0.066
1,1,0.428571428571429,0.4375,0.4,0.6,0.297619047619048,4.2,4.5,5,4.66666666666667,5,0.125,0.833333333333333,,,0.833333333333333,0.375,0.625,0.127,0.058,,,0.073,0.071,0.068
2,1,0.571428571428571,0.4375,0.5,0.666666666666667,0.321428571428571,4,5,5,5,4.75,0.25,0.666666666666667,0.571428571428571,,0.5,0.625,0.625,0.067,0.039,0.022,,0.099,0.056,0.035
1,1,0.523809523809524,0.25,0.45,0.6,0.321428571428571,4.4,4.75,5,3.66666666666667,5,,0,,0,,0,,,0.095,,0.043,,0.237,
2,2,0.619047619047619,0.5,0.6,0.933333333333333,0.285714285714286,3.8,3.75,4.5,3.66666666666667,4,0,0,0,0.2,0,0.375,0,0.066,0.058,0.072,0.186,0.113,0.085,0.109
3,2,0.571428571428571,0.5625,0.6,0.466666666666667,0.285714285714286,2.8,4.5,4.75,4.66666666666667,4.5,0.375,0.333333333333333,0.142857142857143,0,0.5,0.25,,0.059,0.054,0.081,0.053,0.196,0.076,
1,2,0.714285714285714,0.3125,0.8,0.866666666666667,0.297619047619047,4.6,4.75,5,5.33333333333333,5,,1,0.857142857142857,,0.666666666666667,0.625,0.625,,0.068,0.043,,0.083,0.079,0.058
1,2,0.619047619047619,0.5625,0.8,0.8,0.297619047619047,5.2,5,5.25,5,5.25,,0.166666666666667,0.285714285714286,0.2,0.833333333333333,0.625,0,0.112,0.102,0.075,0.039,0.175,0.146,
1,1,0.571428571428571,0.375,0.6,0.6,0.309523809523809,4.2,4.5,4.5,5.33333333333333,5,0.625,0.833333333333333,0.714285714285714,0.4,0.5,0.375,0.375,0.052,0.089,0.051,,0.085,0.104,0.115
3,1,0.428571428571429,0.4375,0.5,0.533333333333333,0.309523809523809,4.2,4,4,4.33333333333333,4,0.375,,,0.4,,0.5,0.375,0.03,,,0.036,,0.048,0.042
2,1,0.571428571428571,0.5,0.65,0.8,0.30952380952381,5,4.75,4.75,5,5.25,,,,,,0.125,0.25,,,,,,0.084,0.089
2,1,0.476190476190476,0.375,0.7,0.666666666666667,0.369047619047619,4.6,4.75,4.75,5,4.75,0.125,0.666666666666667,0.285714285714286,,0,0.125,0.25,0.045,0.075,0.06,,0.102,0.141,0.039
1,1,0.761904761904762,0.6875,0.8,0.6,0.273809523809524,4.2,4.25,4.25,4.33333333333333,4.5,0.125,0.833333333333333,,,0.666666666666667,0.375,0.625,0.03,0.098,,,0.077,0.059,0.059
3,1,0.619047619047619,0.4375,0.5,0.866666666666667,0.321428571428571,5.2,5.25,5,5.66666666666667,5.25,0.5,0.666666666666667,,,0.333333333333333,0.25,0.25,0.067,0.033,,,0.124,0.057,0.038
3,1,0.619047619047619,0.5625,0.5,0.666666666666667,0.321428571428571,5,5,4.25,6,5.25,0.875,1,0.714285714285714,1,1,1,,0.062,0.084,0.048,0.1,0.078,0.096,
2,1,0.619047619047619,0.3125,0.4,0.733333333333333,0.357142857142857,5.4,5,5,5.33333333333333,5.5,0,0.666666666666667,0.285714285714286,,0.333333333333333,0.125,,0.031,0.025,0.042,,0.086,0.043,
1,1,0.666666666666667,0.25,0.7,0.6,0.30952380952381,5,3.25,4.25,4,4.25,0.375,0.833333333333333,,,0,0.125,0.5,0.053,0.06,,,0.03,0.122,0.036
3,2,0.571428571428571,0.3125,0.6,0.733333333333333,0.309523809523809,5,4,4.5,4.33333333333333,3.75,0,0.166666666666667,0.428571428571429,,0.333333333333333,0.25,0.25,0.07,0.113,0.028,,0.1,0.131,0.069
1,1,0.857142857142857,0.625,0.65,0.933333333333333,0.321428571428571,4.6,5.75,5.75,5,5.5,0.625,0.833333333333333,0.857142857142857,0.8,1,0.5,0.625,0.074,0.143,0.058,0.024,0.051,0.132,0.072
